id,score,time
76,0.15,"28/01/2025, 21:03:37"
77,0.125,"28/01/2025, 21:03:51"
78,0.45,"28/01/2025, 21:04:25"
79,0.175,"28/01/2025, 21:04:54"
80,0.2,"28/01/2025, 21:05:10"
81,0.35,"28/01/2025, 21:05:32"
82,0.425,"28/01/2025, 21:06:21"
83,0.6,"28/01/2025, 21:07:14"
84,0.275,"28/01/2025, 21:19:22"
85,0.45,"28/01/2025, 21:20:07"
86,0.625,"28/01/2025, 21:21:44"
87,0.425,"28/01/2025, 21:22:14"
88,0.375,"28/01/2025, 21:22:41"
89,0.15,"28/01/2025, 21:22:59"
90,0.35,"28/01/2025, 21:23:25"
91,0.15,"28/01/2025, 21:23:41"
92,1.0,"28/01/2025, 21:25:07"
93,0.6,"28/01/2025, 21:26:00"
94,0.625,"28/01/2025, 21:26:47"
95,0.55,"28/01/2025, 21:28:49"
96,0.825,"28/01/2025, 21:30:29"
97,1.0,"28/01/2025, 21:31:48"
98,0.975,"28/01/2025, 21:33:28"
99,0.225,"28/01/2025, 21:33:47"
100,0.3,"28/01/2025, 21:34:20"
101,0.25,"28/01/2025, 21:34:43"
102,0.8,"28/01/2025, 21:36:03"
103,0.2,"28/01/2025, 21:41:24"
104,0.125,"28/01/2025, 21:41:43"
105,0.775,"28/01/2025, 21:42:50"
106,0.65,"28/01/2025, 21:43:44"
107,0.25,"28/01/2025, 21:44:20"
108,0.5,"28/01/2025, 21:44:57"
109,0.325,"28/01/2025, 21:45:21"
110,0.45,"28/01/2025, 21:46:04"
111,0.375,"28/01/2025, 21:46:31"
112,0.625,"28/01/2025, 21:47:11"
113,0.55,"28/01/2025, 21:47:49"
114,0.425,"28/01/2025, 21:48:20"
115,0.525,"28/01/2025, 21:48:52"
116,0.875,"28/01/2025, 21:50:58"
117,0.2,"28/01/2025, 21:51:09"
118,0.475,"28/01/2025, 21:52:08"
119,0.325,"28/01/2025, 21:52:44"
120,0.15,"28/01/2025, 21:52:54"
121,0.15,"28/01/2025, 21:53:04"
122,0.15,"28/01/2025, 21:53:24"
123,0.15,"28/01/2025, 21:53:35"
124,0.175,"28/01/2025, 21:53:46"
125,0.175,"28/01/2025, 21:53:56"
126,0.525,"28/01/2025, 21:55:25"
127,0.325,"28/01/2025, 21:56:03"
128,0.15,"28/01/2025, 21:56:15"
129,0.35,"28/01/2025, 21:56:50"
130,0.2,"28/01/2025, 21:57:25"
131,0.15,"28/01/2025, 21:58:15"
132,0.3,"28/01/2025, 22:09:52"
133,0.175,"28/01/2025, 22:10:12"
134,0.2,"28/01/2025, 22:10:49"
135,0.2,"28/01/2025, 22:11:09"
136,0.475,"28/01/2025, 22:11:54"
137,0.7,"28/01/2025, 22:13:29"
138,0.525,"28/01/2025, 22:14:11"
139,0.325,"28/01/2025, 22:14:56"
140,0.225,"28/01/2025, 22:15:21"
141,0.15,"28/01/2025, 22:15:51"
142,0.65,"28/01/2025, 22:16:49"
143,0.175,"28/01/2025, 22:17:15"
144,0.35,"28/01/2025, 22:22:59"
145,0.125,"28/01/2025, 22:23:09"
146,0.325,"28/01/2025, 22:23:33"
147,0.175,"28/01/2025, 22:23:45"
148,0.15,"28/01/2025, 22:23:57"
149,0.275,"28/01/2025, 22:24:27"
150,0.175,"28/01/2025, 22:24:38"
151,0.375,"28/01/2025, 22:25:06"
152,0.15,"28/01/2025, 22:25:33"
153,0.175,"28/01/2025, 22:25:44"
154,0.125,"28/01/2025, 22:25:54"
155,0.15,"28/01/2025, 22:26:04"
156,0.55,"28/01/2025, 22:26:35"
157,0.35,"28/01/2025, 22:26:56"
158,0.325,"28/01/2025, 22:27:16"
159,0.225,"28/01/2025, 22:27:34"
160,0.225,"28/01/2025, 22:27:54"
161,0.225,"28/01/2025, 22:28:17"
162,0.35,"28/01/2025, 22:28:40"
163,0.375,"28/01/2025, 22:29:09"
164,0.15,"28/01/2025, 22:29:25"
165,0.275,"28/01/2025, 22:29:43"
166,0.2,"28/01/2025, 22:30:00"
167,0.15,"28/01/2025, 22:30:15"
168,0.2,"28/01/2025, 22:30:35"
169,0.15,"28/01/2025, 22:30:52"
170,0.25,"28/01/2025, 22:31:12"
171,0.65,"28/01/2025, 22:32:15"
172,0.775,"28/01/2025, 22:33:08"
173,1.0,"28/01/2025, 22:34:24"
174,0.15,"28/01/2025, 22:34:36"
175,0.55,"28/01/2025, 22:35:09"
176,0.7,"28/01/2025, 22:36:15"
177,0.825,"28/01/2025, 22:37:59"
178,1.0,"28/01/2025, 22:39:25"
179,0.175,"28/01/2025, 22:39:40"
180,0.525,"28/01/2025, 22:41:04"
181,1.0,"28/01/2025, 22:42:11"
182,0.525,"28/01/2025, 22:42:52"
183,0.75,"28/01/2025, 22:44:38"
184,0.575,"28/01/2025, 22:45:27"
185,0.2,"28/01/2025, 22:45:43"
186,0.175,"28/01/2025, 22:45:57"
187,1.0,"28/01/2025, 22:47:09"
188,0.925,"28/01/2025, 22:48:20"
189,0.575,"28/01/2025, 22:49:03"
